name,src,describe,time,place,price
酷狗音乐·国风音乐盛典新元之夜,https://detail.damai.cn/item.htm?id=662379268552&clicktitle=%E9%85%B7%E7%8B%97%E9%9F%B3%E4%B9%90%C2%B7%E5%9B%BD%E9%A3%8E%E9%9F%B3%E4%B9%90%E7%9B%9B%E5%85%B8%E6%96%B0%E5%85%83%E4%B9%8B%E5%A4%9C,演唱会,时间：2022.01.01 周六 19:30,场馆：陵水黎族自治县 | 陵水黎族自治县富力海洋欢乐世界,488 元
染空间中文原创音乐剧《白夜行》,https://detail.damai.cn/item.htm?id=661964887047&clicktitle=%E6%9F%93%E7%A9%BA%E9%97%B4%E4%B8%AD%E6%96%87%E5%8E%9F%E5%88%9B%E9%9F%B3%E4%B9%90%E5%89%A7%E3%80%8A%E7%99%BD%E5%A4%9C%E8%A1%8C%E3%80%8B,话剧歌剧,时间：2022.01.01-01.09,场馆：上海市 | 上汽上海文化广场,80-1080 元
全感官浸入式悬疑剧场《法医秦明-尸语者》,https://detail.damai.cn/item.htm?id=662719947212&clicktitle=%E5%85%A8%E6%84%9F%E5%AE%98%E6%B5%B8%E5%85%A5%E5%BC%8F%E6%82%AC%E7%96%91%E5%89%A7%E5%9C%BA%E3%80%8A%E6%B3%95%E5%8C%BB%E7%A7%A6%E6%98%8E-%E5%B0%B8%E8%AF%AD%E8%80%85%E3%80%8B,话剧歌剧,时间：2021.12.24-2022.01.30,场馆：上海市 | 1862时尚艺术中心·一号舱空间,398-498 元
2022南京戏剧节·郝蕾、马天宇领衔主演·明星版舞台剧《寄生虫》,https://detail.damai.cn/item.htm?id=662164041208&clicktitle=2022%E5%8D%97%E4%BA%AC%E6%88%8F%E5%89%A7%E8%8A%82%C2%B7%E9%83%9D%E8%95%BE%E3%80%81%E9%A9%AC%E5%A4%A9%E5%AE%87%E9%A2%86%E8%A1%94%E4%B8%BB%E6%BC%94%C2%B7%E6%98%8E%E6%98%9F%E7%89%88%E8%88%9E%E5%8F%B0%E5%89%A7%E3%80%8A%E5%AF%84%E7%94%9F%E8%99%AB%E3%80%8B,话剧歌剧,时间：2022.03.18-03.20,场馆：南京市 | 南京保利大剧院大剧场,180-980 元
开心麻花深情暖心音乐剧《了不起的悲伤》,https://detail.damai.cn/item.htm?id=661216849888&clicktitle=%E5%BC%80%E5%BF%83%E9%BA%BB%E8%8A%B1%E6%B7%B1%E6%83%85%E6%9A%96%E5%BF%83%E9%9F%B3%E4%B9%90%E5%89%A7%E3%80%8A%E4%BA%86%E4%B8%8D%E8%B5%B7%E7%9A%84%E6%82%B2%E4%BC%A4%E3%80%8B,话剧歌剧,时间：2021.12.24-2022.01.03,场馆：北京市 | 北京9剧场-切CHE·行动剧场,50-300 元
开心麻花首部悬疑惊悚喜剧《醉后赢家》,https://detail.damai.cn/item.htm?id=662006023250&clicktitle=%E5%BC%80%E5%BF%83%E9%BA%BB%E8%8A%B1%E9%A6%96%E9%83%A8%E6%82%AC%E7%96%91%E6%83%8A%E6%82%9A%E5%96%9C%E5%89%A7%E3%80%8A%E9%86%89%E5%90%8E%E8%B5%A2%E5%AE%B6%E3%80%8B,话剧歌剧,时间：2021.12.29-2022.01.09,场馆：北京市 | 地质礼堂剧场,80-1080 元
开心麻花2021情怀年底大戏《七平米》,https://detail.damai.cn/item.htm?id=659350609336&clicktitle=%E5%BC%80%E5%BF%83%E9%BA%BB%E8%8A%B12021%E6%83%85%E6%80%80%E5%B9%B4%E5%BA%95%E5%A4%A7%E6%88%8F%E3%80%8A%E4%B8%83%E5%B9%B3%E7%B1%B3%E3%80%8B,话剧歌剧,时间：2021.12.11-12.12,场馆：北京市 | 海淀剧院,80-1080 元
国粹华风——舞蹈全明星新年GALA,https://detail.damai.cn/item.htm?id=662885975417&clicktitle=%E5%9B%BD%E7%B2%B9%E5%8D%8E%E9%A3%8E%E2%80%94%E2%80%94%E8%88%9E%E8%B9%88%E5%85%A8%E6%98%8E%E6%98%9F%E6%96%B0%E5%B9%B4GALA,舞蹈芭蕾,时间：2022.01.09 周日 19:30,场馆：北京市 | 北京展览馆剧场,180-1200 元
2022新年演出季 浦发银行“浦发卓信”财富管理倾情呈献 舞剧《永不消逝的电波》,https://detail.damai.cn/item.htm?id=663246278922&clicktitle=2022%E6%96%B0%E5%B9%B4%E6%BC%94%E5%87%BA%E5%AD%A3%20%E6%B5%A6%E5%8F%91%E9%93%B6%E8%A1%8C%E2%80%9C%E6%B5%A6%E5%8F%91%E5%8D%93%E4%BF%A1%E2%80%9D%E8%B4%A2%E5%AF%8C%E7%AE%A1%E7%90%86%E5%80%BE%E6%83%85%E5%91%88%E7%8C%AE%20%E8%88%9E%E5%89%A7%E3%80%8A%E6%B0%B8%E4%B8%8D%E6%B6%88%E9%80%9D%E7%9A%84%E7%94%B5%E6%B3%A2%E3%80%8B,舞蹈芭蕾,时间：2022.01.07-01.09,场馆：广州市 | 广州大剧院歌剧厅,180-980 元
开心麻花跨年大戏《乌龙山伯爵》,https://detail.damai.cn/item.htm?id=661851773600&clicktitle=%E5%BC%80%E5%BF%83%E9%BA%BB%E8%8A%B1%E8%B7%A8%E5%B9%B4%E5%A4%A7%E6%88%8F%E3%80%8A%E4%B9%8C%E9%BE%99%E5%B1%B1%E4%BC%AF%E7%88%B5%E3%80%8B,话剧歌剧,时间：2021.12.22-12.29,场馆：杭州市 | 杭州演艺·红星剧院,80-1180 元
2021CMJ酷狗国潮音乐节,https://detail.damai.cn/item.htm?id=661875233521&clicktitle=2021CMJ%E9%85%B7%E7%8B%97%E5%9B%BD%E6%BD%AE%E9%9F%B3%E4%B9%90%E8%8A%82,演唱会,时间：2021.12.25-12.26,场馆：陵水黎族自治县 | 陵水黎族自治县富力海洋欢乐世界,388-1288 元
IFC周生如故演唱会,https://detail.damai.cn/item.htm?id=662951486854&clicktitle=IFC%E5%91%A8%E7%94%9F%E5%A6%82%E6%95%85%E6%BC%94%E5%94%B1%E4%BC%9A,演唱会,时间：2021.12.26 周日,场馆：长沙市 | 湖南国际会展中心,288-588 元
郭采洁: 2021 “游牧别的城市” Nomad City Project巡演 深圳站,https://detail.damai.cn/item.htm?id=663081370160&clicktitle=%E9%83%AD%E9%87%87%E6%B4%81%3A%202021%20%E2%80%9C%E6%B8%B8%E7%89%A7%E5%88%AB%E7%9A%84%E5%9F%8E%E5%B8%82%E2%80%9D%20Nomad%20City%20Project%E5%B7%A1%E6%BC%94%20%E6%B7%B1%E5%9C%B3%E7%AB%99,演唱会,时间：2021.12.30 周四 20:00,场馆：深圳市 | 深圳B10现场,260-320 元
[全场畅饮] 狂欢圣诞节 广州站,https://detail.damai.cn/item.htm?id=661108462835&clicktitle=%5B%E5%85%A8%E5%9C%BA%E7%95%85%E9%A5%AE%5D%20%E7%8B%82%E6%AC%A2%E5%9C%A3%E8%AF%9E%E8%8A%82%20%E5%B9%BF%E5%B7%9E%E7%AB%99,演唱会,时间：2021.12.25-12.26,场馆：广州市 | MAO Livehouse广州,130-260 元
中华恐龙园潮冬音乐节,https://detail.damai.cn/item.htm?id=663337727437&clicktitle=%E4%B8%AD%E5%8D%8E%E6%81%90%E9%BE%99%E5%9B%AD%E6%BD%AE%E5%86%AC%E9%9F%B3%E4%B9%90%E8%8A%82,演唱会,时间：2021.12.10-12.31,场馆：常州市 | 中华恐龙园,99-120 元
第25小时跨年演唱会-千禧年起历年金曲串烧&跨年倒计时,https://detail.damai.cn/item.htm?id=663154379441&clicktitle=%E7%AC%AC25%E5%B0%8F%E6%97%B6%E8%B7%A8%E5%B9%B4%E6%BC%94%E5%94%B1%E4%BC%9A-%E5%8D%83%E7%A6%A7%E5%B9%B4%E8%B5%B7%E5%8E%86%E5%B9%B4%E9%87%91%E6%9B%B2%E4%B8%B2%E7%83%A7%26%E8%B7%A8%E5%B9%B4%E5%80%92%E8%AE%A1%E6%97%B6,演唱会,时间：2021.12.31-2022.01.01,场馆：上海市 | THE BOXX城市乐园,168-368 元
笑果脱口秀PLUS@虹桥艺术中心(1215),https://detail.damai.cn/item.htm?id=662249305676&clicktitle=%E7%AC%91%E6%9E%9C%E8%84%B1%E5%8F%A3%E7%A7%80PLUS%40%E8%99%B9%E6%A1%A5%E8%89%BA%E6%9C%AF%E4%B8%AD%E5%BF%83(1215),曲苑杂坛,时间：2021.12.15 周三 19:30,场馆：上海市 | 虹桥艺术中心,280-580 元
开心麻花爆笑舞台剧《乌龙山伯爵》,https://detail.damai.cn/item.htm?id=663430879376&clicktitle=%E5%BC%80%E5%BF%83%E9%BA%BB%E8%8A%B1%E7%88%86%E7%AC%91%E8%88%9E%E5%8F%B0%E5%89%A7%E3%80%8A%E4%B9%8C%E9%BE%99%E5%B1%B1%E4%BC%AF%E7%88%B5%E3%80%8B,话剧歌剧,时间：2021.12.18-12.19,场馆：天津市 | 民园剧场,80-1080 元
2021-2022 KC左元杰 No.77巡演 济南站,https://detail.damai.cn/item.htm?id=663394059428&clicktitle=2021-2022%20KC%E5%B7%A6%E5%85%83%E6%9D%B0%20No.77%E5%B7%A1%E6%BC%94%20%E6%B5%8E%E5%8D%97%E7%AB%99,演唱会,时间：2022.01.09 周日 20:30,场馆：济南市 | 济南99·大麦Livehouse,200 元
